Player,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG
W. Warbrick
MEL @ BRI | WFB
C. Jensen
BRI v MEL | MID
$729K  |  $263k ( $11k ), $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,, $11k ,52,46.8,,,,,,,,,42,,-2,,,,4,,8,,,,,,,,
C. Munster
MEL @ BRI | HLF
$563K  |  -$191k ( $17k ), $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2, $17k ,47,44.1,,,,,,,,,21,6,-2,,8,-2,,,10,1,1,,,,2,,2
N. Meaney
MEL @ BRI | WFB, CTR
$564K  |  -$55k ( $13k ), $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,, $13k ,45,41.2,,,,14,,5,,2,15,6,-6,,,-4,,,12,,1,,,,,,
S. Fa'alogo
MEL @ BRI | WFB
$395K  |  -$5k ( $19k ), $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2, $19k ,43,33.2,,,,,,10,4,2,2,2,-2,,,,,,20,,3,,,,,,2
A. Reynolds
BRI v MEL | HLF
$635K  |  -$70k ( $4k ), $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,, $4k ,41,46.6,,,,4,,,,,17,,-6,,,,8,,4,14,,,,,,,
P. Carrigan
BRI v MEL | MID
$774K  |  -$17k ( -$6k ), -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,, -$6k ,40,57.4,,,,,,,,,27,4,-4,2,,,,,13,,,-2,,,,,
S. Blore
MEL @ BRI | EDG
